session_id,user_id,session_start_ts,session_duration_sec,device_type,traffic_source,landing_page_type,pages_viewed,product_detail_views,search_used,search_queries_count,add_to_cart_count,remove_from_cart_count,checkout_started,checkout_steps_completed,error_events_count,avg_page_load_ms,returning_user,days_since_last_visit,prior_sessions_30d,prior_purchases_180d,purchase_made,order_value_usd
S100000,U1219,2026-02-13T21:15:15,672,desktop,direct,promo,14,6,0,0,2,1,1,4,0,556,1,12,11,0,1,43.84
S100001,U1552,2026-03-10T00:51:39,273,mobile,organic_search,product,5,3,1,2,0,0,0,0,1,879,0,-1,0,1,0,0.0
S100002,U0426,2026-02-22T19:05:00,27,desktop,organic_search,home,3,2,0,0,0,0,0,0,0,437,1,8,4,0,1,51.56
S100003,U0926,2026-02-10T05:00:51,266,mobile,referral,category,10,4,0,0,1,0,0,0,0,460,1,1,12,1,0,0.0
S100004,U0144,2026-02-10T06:47:34,317,desktop,email,category,9,5,0,0,1,1,0,0,0,452,1,21,15,2,1,33.53
S100005,U0314,2026-01-26T05:32:39,20,desktop,direct,search,3,1,1,0,0,0,0,0,0,484,0,-1,0,0,1,33.31
S100006,U1681,2026-03-20T21:30:12,240,desktop,referral,category,7,3,1,1,0,0,0,0,0,887,1,9,11,1,0,0.0
S100007,U1213,2026-01-21T13:40:40,184,desktop,organic_search,search,5,4,1,1,1,0,0,0,0,469,1,6,22,4,0,0.0
S100008,U1156,2026-03-28T00:18:42,154,desktop,referral,blog,6,3,0,0,1,0,0,0,0,975,1,9,3,0,0,0.0
S100009,U1691,2026-01-23T03:50:19,281,tablet,direct,category,6,4,1,1,0,0,0,0,0,780,1,18,8,0,0,0.0
S100010,U0360,2026-01-10T05:41:51,206,desktop,direct,category,2,0,1,0,0,0,0,0,1,620,1,6,5,3,1,15.36
S100011,U0228,2026-03-01T16:31:03,165,mobile,organic_search,product,5,2,1,3,0,0,0,0,0,797,1,7,8,2,0,0.0
S100012,U1047,2026-03-06T19:26:34,92,desktop,email,blog,3,2,0,0,0,0,0,0,0,318,1,14,11,1,1,94.81
S100013,U1014,2026-04-07T17:34:05,147,mobile,organic_search,blog,6,4,1,1,2,0,0,0,1,719,1,20,5,1,0,0.0
S100014,U1158,2026-01-13T08:20:05,49,mobile,referral,home,1,0,0,0,0,0,0,0,0,620,1,0,19,3,0,0.0
S100015,U1434,2026-02-27T11:00:42,219,mobile,organic_search,category,11,4,0,0,2,0,0,0,1,599,1,2,13,0,0,0.0
S100016,U0929,2026-04-19T02:29:34,173,mobile,organic_search,category,9,4,0,0,2,0,0,0,0,915,1,10,7,0,0,0.0
S100017,U0484,2026-03-25T15:35:41,35,mobile,direct,home,8,2,0,0,0,0,0,0,0,745,1,6,17,2,0,0.0
S100018,U0110,2026-01-09T02:21:50,37,desktop,direct,home,3,2,0,0,0,0,0,0,0,515,1,9,13,3,1,15.92
S100019,U0457,2026-02-21T01:44:09,94,desktop,organic_search,home,2,0,0,0,0,0,0,0,0,733,1,15,1,0,0,0.0
S100020,U0818,2026-01-05T21:06:19,20,desktop,social,home,1,0,1,0,0,0,0,0,0,612,1,15,3,0,0,0.0
S100021,U1105,2026-01-30T00:40:33,64,desktop,referral,category,4,2,0,0,0,0,0,0,0,722,1,1,8,0,0,0.0
